"gender","faed","maed","alg1","alg2","geo","trig","calc","mathgr","grades","mathach","mosaic","visual","visual2","satm","ethnic","religion","ethnic2","item01","item02","item03","item04","item05","item06","item07","item08","item09","item10","item11","item12","item13","item14","item04r","item05r","item08r","item11r","competence","motivation","advmath"
1,10,10,0,0,0,0,0,0,4,9,31,8.75,7,500,2,1,2,1,4,3,1,4,2,2,1,NA,2,1,3,3,3,4,1,4,4,NA,2.83333333333333,0
1,2,2,0,0,0,0,0,0,5,10.333,56,4.75,4,460,3,2,3,3,4,3,NA,1,2,3,3,3,1,1,4,2,3,NA,4,2,4,3.5,NA,0
1,2,2,0,0,0,0,0,1,6,7.667,25,4.75,3,420,2,2,NA,1,1,1,4,4,4,1,2,4,1,1,3,2,2,1,1,3,4,2.5,1.83333333333333,0
0,3,3,1,0,0,0,0,0,3,5,22,1,1,400,1,1,1,1,1,1,2,4,3,1,3,4,3,4,4,3,1,3,1,2,1,1.75,2.33333333333333,0
1,NA,3,0,0,0,0,0,0,3,-1.667,17.5,2.25,2,450,2,1,2,1,4,1,4,4,4,1,4,1,1,4,2,2,3,1,1,1,1,1,1.33333333333333,0
1,3,2,0,0,0,0,0,1,5,1,23.5,1,0,250,3,2,2,1,1,1,4,4,4,1,4,1,1,4,1,2,4,1,1,1,1,1,1.16666666666667,0
0,9,6,1,1,1,0,0,0,6,12,28.5,2.5,2,480,1,2,1,NA,1,3,1,1,3,3,1,3,1,1,3,3,2,4,4,4,4,3.5,NA,0
1,5,3,1,0,0,0,0,0,4,8,29.5,3.5,3,430,1,3,1,1,1,3,2,4,2,1,2,3,2,1,3,3,3,3,1,3,4,2.75,2.33333333333333,0
1,3,3,1,0,0,0,0,1,7,13,28,3.5,2,490,1,NA,2,3,1,NA,1,1,2,2,2,4,2,1,3,2,2,4,4,3,4,NA,2.83333333333333,0
0,8,2,0,0,0,0,0,0,5,3.667,27.5,3.75,3,300,2,1,2,1,3,1,4,4,4,1,3,3,2,4,3,4,2,1,1,2,1,1.5,2,0
0,3,4,1,1,1,1,1,0,6,21,27,11,9.5,500,4,NA,2,4,4,4,3,1,4,4,1,4,4,2,4,4,3,2,4,4,3,3.75,3.66666666666667,2
0,8,9,1,1,1,1,1,1,8,23.667,26.5,4.75,4,700,1,NA,1,3,4,4,2,1,2,3,2,4,2,1,3,3,3,3,4,3,4,4,3,2
1,2,2,1,0,0,0,0,0,5,4,13,1,1,380,3,2,3,1,4,1,3,4,2,1,1,4,1,1,4,3,4,2,1,4,4,2.5,2.5,0
0,6,3,1,0,0,0,0,0,2,9,18,1,0,450,2,1,3,3,4,3,2,1,1,4,1,4,1,1,4,3,3,3,4,4,4,3.75,3.5,0
1,2,3,1,1,0,0,0,0,3,5.333,25,4.75,4,400,1,1,1,4,4,3,2,1,3,3,1,4,1,1,3,3,3,3,4,4,4,3.75,3.33333333333333,0
0,NA,3,1,1,1,0,0,1,7,19.667,33,13.5,9.5,590,2,2,1,3,4,3,2,1,3,4,2,4,1,2,4,3,3,3,4,3,3,3.5,3.33333333333333,0
0,3,3,1,0,1,0,0,0,7,7.667,33,-0.25,1,430,1,2,1,4,4,3,2,1,3,3,1,4,1,1,4,3,3,3,4,4,4,3.75,3.5,0
